COMPANY;CATEGORY;DESCRIPTION
Nordstrom;Retailing;"Nordstrom, Inc. () is an American luxury department store chain headquartered in Seattle, Washington, and founded by John W. Nordstrom and Carl F. Wallin in 1901. The original store operated exclusively as a shoe store, and a second location opened in 1923. The growing chain began selling clothing in 1963, and became the full-line retailer that presently exists by 1971. The company founded its off-price Nordstrom Rack division in 1973, and grew both full-line and off-price divisions throughout the United States in the following years. The full-line division competes with department stores including Bloomingdale's, Macy's, Neiman Marcus, and Saks Fifth Avenue, while the off-price division competes with retailers including the TJX Companies and Ross Stores. Previous expansions beyond the contiguous United States include Puerto Rico (2015–2020) and Canada (2014–2023).


== Early history ==
John W. Nordstrom was born on February 15, 1871, in the village Alvik near Luleå in Northern Sweden. In 1887, Nordstrom immigrated to the United States at the age of 16. His name at birth was Johan Wilhelm Nordström (Swedish pronunciation: [ˈjuːhɑn ˈvɪlhɛlm ˈnuːr(d)strœm]), which he later anglicized to John W. Nordstrom."
Thomson;Consumer durables;Thompson is a surname of English, Irish and Scottish origin which is a variant of Thomson, meaning 'son of Thom'. Thom(p)son is also the English translation of MacTavish, which is the Anglicised version of the Gaelic name MacTamhais.
Securitas;Business services & supplies;"Securitas AB is a Swedish group devoted to security services, such as security guarding, mobile patrolling, monitoring, investigation and related consulting services. The group is headquartered in Stockholm and had over 336,000 employees in 44 markets worldwide as of 2024. Securitas AB is listed at Nasdaq OMX Stockholm in the Large Cap segment.
Securitas AB owns and operates the Swiss security company Protectas AG in Switzerland, where there is a pre-existing, separate security company called Securitas AG, part of the Swiss Securitas Group.
Since 1999, Securitas AB has been the parent company of Pinkerton, a historically significant American detective agency.


== History ==
Securitas AB was founded in 1934 in Helsingborg, Sweden, as AB Hälsingborgs Nattvakt, when Erik Philip-Sörensen bought a small guarding company. In 1935, the name was changed to Förenade Svenska Vakt AB. The company expanded through acquisitions of several small security companies, initially in southern Sweden.
In 1949, AB Securitas Alarm was founded as the company's security technology subsidiary, and during the following decade, the company started expanding internationally.
Securitas made its first technical breakthrough in 1961 with the Securi-Coll automatic access control system. The company then introduced a payment system for petrol stations in Sweden, which was later modified to enable cash withdrawals."
Koe Group;Diversified financials;"Koen (Dutch pronunciation: [ˈkun] ) is a Dutch language given name and surname, popular in the Netherlands and Flanders. Although the earliest direct attestation comes from Oudenaarde, East Flanders in 1272, it is known to have been derived from the Proto-Germanic name *kōnja-, meaning ""brave"". The given name is often an abbreviation of Koenraad.
Kōen is a Romanization of an unrelated Japanese family name.


== People with the given name ==
Kōen (1207-1284/5), Japanese busshi during the Kamakura period
Koen Andries, Belgian scientist
Koen Barbé (born 1981), Belgian road bicycle racer
Koen Bauweraerts (born 1983), Belgian hardstyle DJ and producer
Koen Beeckman (born 1973), Belgian road bicycle racer
Koen van der Biezen (born 1985), Dutch footballer
Koen Bouwman (born 1993), Dutch cyclist
Koen Casteels (born 1992), Belgian footballer
Koen Crucke (born 1952), Belgian tenor, actor and politician
Koen Daerden (born 1982), Belgian footballer
Koen De Bouw (born 1964), Flemish actor
Koen De Graeve (born 1972), Belgian actor
Koen de Kort (born 1982), Dutch cyclist
Koen Decoster, Belgian historian, philosopher and translator
Koen Geens (born 1958), Belgian Flemish politician
Koen Heldens (born 1986), Dutch mixing engineer
Koen Huntelaar (born 1998), Dutch footballer
Koen Kessels (born c. 1960), Belgian conductor and music director
Koen Lamberts, Belgian psychologist
Koen Lenaerts (born 1954), Belgian law scholar and judge
Koen Naert (born 1989), Belgian long-distance runner
Koen Olthuis (born 1971), Dutch architect
Koen Onzia (born 1961), Belgian ballet dancer
Koen Peeters (born 1959), Belgian writer
Koen Pijpers (born 1969), Dutch field hockey player
Koen Ridder (born 1985), Dutch badminton player
Koen Schockaert (born 1978), Belgian footballer
Koen Sleeckx (born 1975), Belgian judoka
Koen Stam (born 1987), Dutch footballer
Koen Van Langendonck (born 1989), Belgian footballer
Koen Vandenbempt (born ca."
Tatneft;Oil & gas operations;"Tatneft (Russian: публичное акционерное общество «Татнефть» имени В.Д. Шашина or ПАО «Татнефть» им. В.Д. Шашина; traded as: MCX: TATN (ordinary shares), MCX: TATNP (preferred shares),LSE: ATAD (ADRs)) is a Russian vertically integrated oil and gas company with headquarters in the city of Almetyevsk, Republic of Tatarstan, Russian Federation. It is the fifth largest oil company in Russia and the eighth largest listed company in Russia by market capitalization (as of 31 December 2019). In the 2020 Forbes Global 2000, Tatneft was ranked as the 539th-largest public company in the world.
Tatneft holds most of the exploration and production licenses and produces substantially all its crude oil in Tatarstan. Out of approximately 581.5 thousand barrels of oil produced daily 35.5% (206.7 thousand barrels per day) is refined at Tatneft's TANECO refinery (as of 31 December 2019).
Tatneft is also involved in treatment and refining of associated petroleum gas, petrochemicals', mainly tires, production and marketing, manufacturing of equipment, engineering, procurement, and construction services for oil, gas and petrochemical projects and, from the fourth quarter of 2016 upon obtaining control over Bank ZENIT, in banking activities.


== History ==
Tatneft was created by the Decree of the Council of Ministers of the USSR in April 1950 as a production association under the Ministry of Oil Industry of the USSR by uniting several drilling and derrick maintenance crews operating in Tatarstan.
Upon its establishment Tatneft commenced the production from various crude oil fields in Tatarstan, most notably the Romashkino (Romashkinskoye) unique super-giant field discovered in 1948. By 1956 Tatneft became the largest crude oil producer in the USSR. In 1971 Tatneft extracted the 1st billionth tonne of crude oil."
Wharf (Holdings) Hong;Diversified financials;Error: HTTPConnectionPool(host='en.wikipedia.org', port=80): Max retries exceeded with url: /w/api.php?list=search&srprop=&srlimit=1&limit=1&srsearch=Wharf+%28Holdings%29+Hong&format=json&action=query (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x106b3b020>, 'Connection to en.wikipedia.org timed out. (connect timeout=None)'))
Orkla;Food drink & tobacco;"Orkla ASA is a Norwegian conglomerate operating in Europe, Asia and the US. At present, Orkla operates in the branded consumer goods, aluminium products and financial investment sectors. Orkla ASA is listed on the Oslo Stock Exchange and its head office is in Oslo, Norway. As of 31 December 2021, Orkla had 21,423 employees. The Group's turnover in 2021 totalled NOK 50.4 billion.


== Operations ==
Orkla's branded consumer goods division produces brands in many fields, primarily in the Nordic region, but also in other places such as Central and Eastern European countries, and the Baltic region. Among the companies owned by Orkla are Abba Seafood, Beauvais foods, Chips, Felix, Göteborgs Kex, Kalev, KiMs, Lilleborg, MTR Foods, Rasoi Magic, Peter Möller, Nidar, OLW, Panda, Procordia Food, Stabburet, Sætre, Pierre Robert Group and Laima.
As of February 2020 Orkla had major ownership in Jotun (42.6%). Borregaard was divested and listed on the Oslo Stock Exchange in 2012. Orkla's 50% interest of Sapa Group was sold in 2017.


== History ==
Orkla started out in 1654 with pyrite mining at Løkken Verk in Sør-Trøndelag, Norway."
Alliance UniChem;Health care equipment & services;"Alliance Healthcare, formerly Alliance UniChem, is a wholesaler, distributor and retailer of pharmaceutical, surgical, medical, and healthcare products throughout Europe. The company supplies more than 110,000 pharmacies, doctors, health centres, and hospitals from over 288 distribution centres in 11 countries.
The company is a wholly owned subsidiary of Cencora, having been formerly owned by Walgreens Boots Alliance until 2021.


== History ==
Stefano Pessina founded Alleanza Salute Italia in 1977 under the name of Alleanza Farmaceutica, which expanded to form Alliance Santé SA with Antonin De Bono (at that time Chairman and CEO (1994-97) of Européenne de répartition pharmaceutique et d'investissements which became Alliance Santé Distribution). In November 1997, Alliance Santé SA merged with UniChem PLC to form Alliance UniChem. The combined business became one of the largest pharmaceutical distributors in Europe. In 1998 it purchased a majority stake in the Spanish pharmaceutical wholesaler Grupo Safa.
In 1999, Alliance UniChem entered into a partnership with Galenica AG of Switzerland, and created the Alliance Farmacie business in Italy. Plus s.r.o. and Pragopharm s.r.o."
QBE Insurance Group;Insurance;"QBE Insurance Group Limited is an Australian multinational general insurance and reinsurance company headquartered in Sydney, Australia. QBE offers commercial, personal and specialty products and risk management products. The company employs around 13,500 people in 27 countries.


== History ==
QBE was founded in 1886 as the North Queensland Insurance Co in Townsville, by two Scottish migrants, James Burns and Robert Philp, founders of shipping company Burns Philp to insure its ships.
QBE was listed on the Australian Securities Exchange in 1973 from the merger of three companies whose names represent the letters of the combined company, Queensland Insurance, Bankers' and Traders' Insurance Company, and Equitable Life and General Insurance Co., and its founding chairman was J. D. O. Burns.
Since then, QBE has continued to acquire many companies. In 1999 it purchased a 50% shareholding in Mercantile Mutual. In 2004 it purchased the other 50% from ING. In February 2007, it acquired Mexican insurer Seguros Cumbre SA de CV, whose net tangible assets were estimated at $26 million, and American insurer General Casualty Insurance. In 2011, QBE purchased Balboa Insurance of California from the Bank of America.


== Organisational structure ==
The organizational structure of QBE Insurance Group is composed of three geographic-based operating divisions, a captive reinsurer (Equator Re) headquartered in Bermuda, an offshore service centre in the Philippines, and various corporate functions located in the group head office in Sydney, Australia."
Siam Cement;Construction;"The Siam Cement Public Company Limited (SCG; SET: SCC) is the largest and oldest cement and building material company in Thailand and Southeast Asia. In 2016, SCG was also ranked as the second largest company in Thailand and the 604th largest public company in the world by Forbes. The company is SET50 and SETHD-listed and an industry benchmark. The company's major shareholder is King Vajiralongkorn, which owns 30 percent of Siam Cement's shares.
Consolidated revenues were 450 billion baht (US$14 billion) in FY2017.: 10  The cement and building materials unit contributed 38 percent; 44 percent from the chemicals unit; and 18 percent from the packaging unit.: 11  In 2016, SCG was ranked No.1 of the top graduate employer in Thailand polled by Asia Internship Program.
SCG was founded to set up the first cement plant in Bangkok, Thailand by a royal decree of King Rama VI (Vajiravudh) in 1913. Since then, the company has expanded into various businesses with three core business units: SCG Cement-building materials; SCG Chemicals; and SCG Packaging.: 1  Now, SCG heavily invests their company into Southeast Asia regions including packaging businesses in Malaysia, a petrochemical complex in Vietnam, and many cement plants around the regions.
SCG employs approximately 54,000 employees. The products are marketed domestically and exported to all regions of the world. Cementhai Holding Co., Ltd."
Luxottica Group;Household & personal products;"Luxottica Group S.p.A. is an Italian eyewear multinational corporation headquartered in Milan. As a vertically integrated company, Luxottica designs, manufactures, distributes, and retails its eyewear brands through its own subsidiaries. It is the largest eyewear company in the world. It is, since October 2018, a subsidiary of EssilorLuxottica, which arose out of a merger between the Italian company and the French ophthalmic optics corporation Essilor.
Luxottica was founded in Agordo by Leonardo Del Vecchio in 1961 as a sunglasses manufacturer selling and branding under its own name. Del Vecchio quickly acquired numerous businesses in the pursuit of vertical integration, buying distribution companies rapidly and signing its first designer licensing agreement with Giorgio Armani. In 1990, the company listed American depositary receipts on the New York Stock Exchange where it traded until 2017.
Luxottica retails its products through stores that it owns, predominantly LensCrafters, Sunglass Hut, Pearle Vision, Target Optical, and Glasses.com. It also owns EyeMed, one of the largest vision health insurance providers. In addition to licensing prescription and non-prescription sunglasses frames for many luxury and designer brands including Chanel, Prada, Giorgio Armani, Burberry, Versace, Dolce and Gabbana, Michael Kors, Coach, Miu Miu and Tory Burch, the Italian corporation further outright owns and manufactures Ray-Ban, Persol, Oliver Peoples, and Oakley."
Bank Hapoalim;Banking;"Bank Hapoalim ( lit. The Workers' Bank) is one of the largest banks in Israel, established in 1921. The bank offers a broad range of financial services to retail, corporate, and institutional customers, with a focus on retail banking services. It operates a network of more than 250 branches and offices in Israel and abroad. Bank Hapoalim is a prominent player in the Israeli banking sector, with a significant market share.
The company is traded in the Tel Aviv Stock Exchange under the symbol POLI, and is part of the Tel Aviv 35 Index. Reuven Krupik was appointed Chairman of the Board in 2020, and Yadin Antebi was appointed CEO in August 2024, succeeding former CEO Dov Kotler.


== History ==
The bank was established in 1921 by the Histadrut,  the Israeli trade union congress  (lit. ""General Federation of Laborers in the Land of Israel"") and the Zionist Organisation.
The bank was owned by the Histadrut until 1983, when it was nationalized following the Bank Stock Crisis."
WR Berkley;Insurance;"W. R. Berkley Corporation is an American commercial lines property and casualty insurance holding company organized in Delaware and based in Greenwich, Connecticut.
The company operates commercial insurance businesses in the United Kingdom, Continental Europe, South America, Canada, Mexico, Scandinavia, Asia and Australia and reinsurance businesses in the United States, United Kingdom, Continental Europe, Australia, the Asia-Pacific region and South Africa.
The company is ranked 397th on the Fortune 500.


== History ==
W. R. Berkley Corporation was founded in 1967 by William R. Berkley, who currently serves as Executive Chairman.
In November 1973, the company became a public company via an initial public offering. At that time, the founder owned 23.8% of the company.
In 1994, the company acquired Key Risk Management Services Inc.
In 1995, the company acquired the remaining 40% interest in Signet Star from Gen Re. The company also acquired MECC for $138 million.
In August 2006, the company acquired Garnet Captive Services LLC, a San Francisco insurance brokerage and alternative risk consulting firm."
Rockwell Automation;Capital goods;"Rockwell Automation, Inc. is an American provider of industrial automation and digital transformation technologies. Brands include Allen-Bradley, FactoryTalk software and LifecycleIQ Services.
Headquartered in Milwaukee, Wisconsin, Rockwell Automation employs approximately 27,000 people and has customers in more than 100 countries worldwide.


== History ==


=== Early years ===
Rockwell Automation began in 1903 as the Compression Rheostat Launch Company. It was founded by Dr. Stanton Allen and Lynde Bradley with an initial investment of $1000. In 1904, 19-year-old Harry Bradley joined his brother in the business, and the company's first patented product, a carbon disc compression-type motor controller for industrial cranes, was demonstrated at the St. Louis World's Fair the same year. In 1909, the company was renamed the Allen-Bradley Company."
Komatsu;Capital goods;"Komatsu Ltd. (株式会社小松製作所, Kabushiki-gaisha Komatsu Seisakusho) or Komatsu (コマツ) is a Japanese multinational corporation that manufactures construction, mining, forestry and military heavy equipment, as well as diesel engines and industrial equipment like press machines, lasers and thermoelectric generators. Its headquarters are in Minato, Tokyo, Japan. The corporation was named after the city of Komatsu, Ishikawa Prefecture, where the company was founded in 1921. Worldwide, the Komatsu Group consists of Komatsu Ltd. and 258 other companies (215 consolidated subsidiaries and 42 companies accounted for by the equity method).
Komatsu is the world's second largest manufacturer of construction equipment and mining equipment after Caterpillar. However, in some areas (Japan, China), Komatsu has a larger share than Caterpillar. It has manufacturing operations in Japan, Asia, Americas and Europe.
The word ko-matsu means ""small pine tree"" (小松) in Japanese."
Cable & Wireless;Telecommunications services;"Cable & Wireless plc was a British telecommunications company. In the mid-1980s, it became the first company in the UK to offer an alternative telephone service to British Telecom (via subsidiary Mercury Communications). The company later offered cable TV to its customers, but it sold its cable assets to NTL in 2000. It remained a significant player in the UK telecoms market and in certain overseas markets, especially in the former British colonies of the Caribbean, where it was formerly the monopoly incumbent. It was also the main supplier of communication in the British South Atlantic, including Saint Helena and the Falkland Islands. It was listed on the London Stock Exchange and was a constituent of the FTSE 100 Index.
The company split in March 2010, with its international division demerging to form Cable & Wireless Communications, acquired by Liberty Global in 2015, and since spun-off in 2018 from Liberty Global to Liberty Latin America, while the remainder of the Cable & Wireless business became Cable & Wireless Worldwide and was acquired by Vodafone in 2012.


== History ==


=== 1860 to 1901 ===

Cable and Wireless traces its history back to a number of British telegraph companies founded in the 1860s, and cites Sir John Pender as the founder. In 1869, Pender founded the Falmouth, Malta, Gibraltar Telegraph Company and the British Indian Submarine Telegraph Company, which connected the Anglo-Mediterranean cable (linking Malta to Alexandria using a cable manufactured by one of Pender's companies) to Britain and India, respectively. The London to Bombay telegraph line was completed in 1870, and in 1872 the three companies were merged with the Marseilles, Algiers and Malta Telegraph Company to form the Eastern Telegraph Company, with Pender as chairman."
Telecom of New Zealand;Telecommunications services;"Spark New Zealand Limited is a New Zealand telecommunications and digital services company providing fixed-line telephone services, mobile phone services, broadband, and digital technology services (including cloud, security, digital transformation, and managed services). Its customers range from consumers to small - medium business, government agencies and large enterprise clients. It was formerly known as Telecom New Zealand until it was rebranded to Spark on 8 August 2014. It has operated as a publicly traded company since 1990. Spark's mobile network reaches 98% of New Zealand, with over 2.7 million mobile connections and 687,000 broadband connections
Spark is one of the largest companies by value on the New Zealand Exchange (NZX). As of 2007, it was the 39th largest telecommunications company in the OECD. The company is part of New Zealand Telecommunications Forum.  
Telecom New Zealand was formed in 1987 from a division of the New Zealand Post Office, and privatised in 1990. In 2008, Telecom was operationally separated into three divisions under local loop unbundling initiatives by central government – Telecom Retail; Telecom Wholesale; and Chorus, the network infrastructure division. This separation effectively ended any remnants of monopoly that Telecom Retail once had in the market. In 2011 the demerger process was complete, with Telecom and Chorus becoming separate listed companies."
Bank of East Asia;Banking;"The Bank of East Asia Limited, often abbreviated to BEA, is a Hong Kong public banking and financial services company headquartered in Central, Hong Kong. It is currently the largest independent local Hong Kong bank, and one of two remaining family-run Hong Kong banks, with the other being Dah Sing Bank. It continues to be run by the 3rd and 4th generations of the Li family.
It was incorporated as a publicly listed bank in Hong Kong on 14 November 1918, and officially opened for business on 4 January 1919, by a group of local Hong Kong Chinese businessmen who ""not only understood modern banking, but the needs of modern Chinese business."" Essentially, it aimed to serve local Hong Kong citizens and businesses who were currently underserved by the large British banks and small, unorganized, and often unincorporated local Hong Kong moneylenders. By the 1930s, BEA was considered the most influential local Hong Kong bank in the city.


== History ==


=== Origins, and until 2008 ===
BEA was co-founded in Hong Kong on 14 November 1918 and officially opened for business on 4 January 1919. The idea of a local Hong Kong bank to blend East and West, essentially by embracing the style of a Chinese, family-run bank but also adopting modern accounting and banking methods, came from Kan Tong-po (簡東浦). Kan had the necessary banking background but needed the financial support of the Li brothers (Li Koon-chun and Li Tse-fong) and the sociopolitical support of Sir Shouson Chow, who would become co-founders, along with several other prominent local Hong Kong Chinese businessmen, including Fung Ping Shan (馮平山).
While Kan later sold his stake in the bank in the run-up to Hong Kong's handover, the Li family's influence in the bank continues to run deep today, with Sir David Li (3rd generation) being chairman, and his sons Adrian Li and Brian Li (4th generation) being co-CEOs.
BEA expanded rapidly internationally after opening."
Yamaha Motor;Consumer durables;"Yamaha Motor Co., Ltd. (ヤマハ発動機株式会社, Yamaha Hatsudōki Kabushiki gaisha) is a Japanese mobility manufacturer that produces motorcycles, motorboats, outboard motors, and other motorized products. The company was established in the year 1955 upon separation from Nippon Gakki Co., Ltd. (currently Yamaha Corporation) and is headquartered in Iwata, Shizuoka, Japan. The company conducts development, production and marketing operations through 109 consolidated subsidiaries as of 2012.
Led by Genichi Kawakami, the company's founder and first president, Yamaha Motor spun off from musical instrument manufacturer Yamaha Corporation in 1955 and began production of its first product, the YA-1 125cc motorcycle. It was quickly successful and won the 3rd Mount Fuji Ascent Race in its class.
The company's products include motorcycles, scooters, motorized bicycles, boats, sail boats, personal watercraft, swimming pools, utility boats, fishing boats, outboard motors, 4-wheel ATVs, recreational off-road vehicles, go-kart engines, golf carts, multi-purpose engines, electrical generators, water pumps, automobile engines, surface mounters, intelligent machinery, electrical power units for wheelchairs and helmets. The company is also involved in the import and sale of various types of products, the development of tourist businesses, and the management of leisure, recreational facilities and related services. Yamaha's motorcycle sales are the second largest in the world and Yamaha is the world leader in water vehicle sales."
Agilent Technologies;Technology hardware & equipment;"Agilent Technologies, Inc. is an American global company headquartered in Santa Clara, California, that provides instruments, software, services, and consumables for laboratories. Agilent was established in 1999 as a spin-off from Hewlett-Packard. The resulting IPO of Agilent stock was the largest in the history of Silicon Valley at the time. From 1999 to 2014, the company produced optics (LED, laser), semiconductors, EDA software and test and measurement equipment for electronics; that division was spun off to form Keysight. Since then, the company has continued to expand into pharmaceutical, diagnostics & clinical, and academia & government (research) markets.


== Products and services ==

Agilent serves analytical laboratories and the clinical and routine diagnostics markets with a full suite of technology platforms. These include: automation, bioreagents, FISH probes, gas and liquid chromatography, immunohistochemistry, informatics, mass spectrometry, microarrays, spectroscopy, target enrichment, and vacuum technologies.
Agilent also provides lab management services, including enterprise asset management, laboratory business intelligence, equipment management and service, software maintenance, regulatory compliance, sample preparation, genomics and cloning, GC and HPLC columns, spectrometry and spectroscopy supplies, and consumables. The company is known for investing in R&D within its own research labs and those of leading universities to advance the state of knowledge in the life sciences, diagnostics, and chemical analysis space."
Serono;Drugs & biotechnology;"Error: Page id ""zero o"" does not match any pages. Try another id!"
Sanmina-SCI;Technology hardware & equipment;"Sanmina Corporation is an American electronics manufacturing services (EMS) provider headquartered in San Jose, California that serves original equipment manufacturers (OEMs) in communications and computer hardware fields. The firm has nearly 80 manufacturing sites, and is one of the world’s largest independent manufacturers of printed circuit boards and backplanes. As of 2022, it is ranked number 482  in the Fortune 500 list.


== History ==
Sanmina was founded by Jure Sola and Milan Mandarić in 1980 as a printed circuit board manufacturer. It was named after Milan Manadarić's daughters Sandra and Jasmina. During the 1980s, it expanded into manufacturing backplanes and subassemblies  for the telecommunications industry. During the 1990s, the company grew, producing complete products for major OEM companies and completing a number of acquisitions. Jure Sola became CEO and Chairman of Sanmina in 1991. The company completed an initial public offering on NASDAQ in 1993.


=== Merger and name changes ===
In December 2001, Sanmina merged with SCI Systems of Huntsville, Alabama, for $6 billion in cash, stock, and debt."
Cooper Industries;Capital goods;"Cooper Industries was an American worldwide electrical products manufacturer headquartered in Houston, Texas. Founded in 1833, the company had seven operating divisions including Bussmann electrical and electronic fuses; Crouse-Hinds and CEAG explosion-proof electrical equipment; Halo and Metalux lighting fixtures; and Kyle and McGraw-Edison power systems products.
In 2011, 59% of total sales were to customers in the industrial and utility end-markets and 40% of total sales were to customers outside the United States. Cooper has manufacturing facilities in 23 countries as of 2011.
On November 26, 2012, it was announced that the company will be replaced in the S&P 500 index, since its takeover by Eaton Corporation.


== History ==
Cooper Industries was founded in 1833 by brothers Charles and Elias Cooper. The company started as a foundry located in Mt. Vernon, Ohio, and was initially called the C&E Cooper Company. Cooper's initial product offerings included plows, hog troughs, kettles and stoves. By the mid-nineteenth century the company was concentrating on steam engines."
Public Bank;Banking;"A public bank is a bank, a financial institution, in which a state, municipality, or public actors are the owners. It is an enterprise under government control. Prominent among current public banking models are the Bank of North Dakota, the Sparkassen-Finanzgruppe in Germany, and many nations' postal bank systems.
Public or 'state-owned' banks proliferated globally in the late 19th and early 20th centuries as vital agents of industrialisation in capitalist and socialist countries alike; as late as 2012, state banks still owned and controlled up to 25 per cent of total global banking assets.
Proponents of public banking argue that policymakers can create public-sector banks to reduce the costs of government services and infrastructure; protect and aid local banks; offer banking services to people and entities underserved by private-sector banking; and promote particular kinds of economic development reflecting polities' shared notions of social good. The 2015 Addis Ababa Financing for Development Action Agenda noted that public banks should have an important role in achieving the new Sustainable Development Goals. Increasingly, major international financial institutions are recognising the positive and catalytic role public banks can serve in the coming low carbon climate resilient transition. Further, international NGOs and critical scholars argue that public banks can play a significant role in financing a just and equitable energy transition.


== Definitions of public banking ==
According to the Public Banking Institute, ""[a] Public Bank is a chartered depository bank in which public funds are deposited. A Public Bank is owned by a government unit—a state, county, city, or tribe—and mandated to serve a public mission that reflects the values and needs of the public that it represents."" According to Ellen Brown, public ownership of a bank is distinct from state-socialism in that the latter is government ownership of the means of production, whereas public banking involves government oversight of the credit and debit system that facilitates economic exchange, including that of free markets."
Fanuc;Capital goods;"FANUC ( or ; often styled Fanuc) is a Japanese group of companies that provide automation products and services such as robotics and computer numerical control wireless systems. These companies are principally FANUC Corporation (ファナック株式会社, Fanakku Kabushikigaisha) of Japan, Fanuc America Corporation of Rochester Hills, Michigan, USA, and FANUC Europe Corporation S.A. of Luxembourg.
FANUC is one of the largest makers of industrial robots in the world. FANUC had its beginnings as part of Fujitsu developing early numerical control (NC) and servo systems. FANUC is acronym for Fuji Automatic Numerical Control.
FANUC is organized into 3 business units: FA (Factory Automation), ROBOT, and ROBOMACHINE. These three units are unified with SERVICE as ""one FANUC"". Service is an integral part of FANUC and the company famously supports products for as long as customers use them.


== History ==
In 1955, Fujitsu Ltd. approached Seiuemon Inaba (ja:稲葉清右衛門), who was then a young engineer, to lead a new subsidiary purposed to make the field of numerical control. This nascent form of automation involved sending instructions encoded into punched cards or magnetic tape to motors that controlled the movement of tools, effectively creating programmable versions of the lathes, presses, and milling machines."
Olympus;Health care equipment & services;"Olympus Corporation is a Japanese manufacturer of optics and reprography products, headquartered in Hachioji, Tokyo. Olympus was established in 1919, initially specializing in microscopes and thermometers, and later in imaging. Olympus holds roughly a 70 percent share of the global endoscope market, estimated to be worth approximately US$2.5 billion. It was formerly also a maker of cameras, camera lenses and dictaphones, until it divested this part to OM Digital Solutions in 2020.  
In 2011, Olympus attracted worldwide media scrutiny when it fired its CEO Michael Christopher Woodford for whistleblowing, and the matter snowballed into a corporate corruption investigation with multiple arrests. In 2016, it paid US$646 million (equivalent to $804 million in 2023) in fines associated with its illegal, long running, kickback scheme.


== Products ==


=== Cameras and audio ===
In 1936, Olympus introduced its first camera, the Semi-Olympus I, fitted with the first Zuiko-branded lens. The Olympus Chrome Six was a series of folding cameras made by Takachiho, and later Olympus, from 1948 to 1956, for 6×4.5 cm or 6×6 cm exposures on 120 film.
The first innovative camera series from Olympus was the Pen, launched in 1959. It used a half-frame format, taking 72 18×24 mm photographs on a standard 36-exposure 35mm film cassette, which made Pen cameras compact and portable for their time."
EchoStar Commun;Media;"Alliance Atlantis Communications Inc. (commonly known as Alliance Atlantis and commonly shortened to simply Alliance or Atlantis) was a Canadian media company that operated primarily as a specialty service operator in Canada. Alliance Atlantis also had offices in Halifax, Los Angeles, London, Dublin, Madrid, Barcelona, Shannon, and Sydney.
Alliance Atlantis was the result of a merger of two companies: Atlantis Communications, founded in 1978 by Michael MacMillan, Janice L. Platt and Seaton S. MacLean, and Alliance Communications, founded in 1984 by Stephen Roth, Denis Héroux, John Kemeny, Robert Lantos, Andras Hamori and Susan Cavan as Alliance Entertainment. Alliance Communications and Atlantis Communications merged to form Alliance Atlantis in 1998 which was a member of the North American Broadcasting Association (NABA).
The company ceased to exist in 2007 as the broadcasting division was acquired by Canwest Global Communications and an affiliate of Goldman Sachs that year. The motion picture division was then spun off and operated independently as Alliance Films, headquartered in Montreal (subsequently sold to Entertainment One and later, Lionsgate), and the international television distribution division was sold to Echo Bridge Entertainment.
All of the former Alliance Atlantis specialty networks, except for the now-defunct BBC Kids, are now owned by Corus Entertainment. The films division was later acquired by Entertainment One group and folded into eOne on January 9, 2013. Most of the assets of eOne, which included Alliance Atlantis' films division and television library, were later acquired by Lionsgate on December 27, 2023."
Scana;Utilities;"A scandal can be broadly defined as the strong social reactions of outrage, anger, or surprise, when accusations or rumours circulate or appear for some reason, regarding a person or persons who are perceived to have transgressed in some way a social norm. These reactions are usually noisy and may be conflicting, and they often have negative effects on the status and credibility of the persons or organizations involved.
Society is scandalized when it becomes aware of breaches of moral norms or legal requirements, often when these have remained undiscovered or been concealed for some time. Such breaches have typically erupted from greed, lust, or the abuse of power. Scandals may be regarded as political, sexual, moral, literary, or artistic, but often spread from one realm into another. The basis of a scandal may be factual or false, or a combination of both. In contemporary times, exposure of a scandalous situation is often made by mass media. 
Contemporary media has the capacity to spread knowledge of a scandal further than in previous centuries and public interest has encouraged many cases of confected scandals relating to well-known people as well as genuine scandals relating to politics and business. Some scandals are revealed by whistleblowers who discover wrongdoing within organizations or groups, such as Deep Throat (William Mark Felt) during the Watergate scandal in the 1970s in the United States. Whistleblowers may be protected by laws which are used to obtain information of misdeeds and acts detrimental to their establishments."
Sherwin-Williams;Retailing;"Error: Page id ""sherman williams"" does not match any pages. Try another id!"
Allied Waste Inds;Business services & supplies;"Allied Academies (also known as Allied Business Academies) is a reportedly fraudulent corporation chartered under the laws of North Carolina. Its postal address is in London, United Kingdom. It presents itself as an association of scholars, with supporting and encouraging research and the sharing and exchange of knowledge as its stated aims. The organization consists of 30 affiliate academies, which provide awards to academics and publish academic journals both online and in hard copy for members. Since 2015 the organization has been listed on Jeffrey Beall's list of ""potential, possible, or probable predatory scholarly open-access publishers"". It is in a partnership with OMICS Publishing Group which uses its website and logo. In 2018, OMICS owner Srinubabu Gedela declared that he had informed the Nevada court that Allied Academies was a subsidiary of OMICS International. During a conference in 2018, they falsely listed a prominent chemist among its organizing committee who had not agreed to this and was not affiliated with Allied Academies."
